title,author,primary_isbn10,primary_isbn13,bought_by
FOXGLOVE,Adalyn Grace,None,9780316565257,Jakes_team
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,,9781250867070,Petes_team
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,1250866448,9781250866448,Petes_team
GAMBLER,Billy Walters with Armen Keteyian,1668032856,9781668032855,Petes_team
GIRL IN PIECES,Kathleen Glasgow,1101934743,9781101934746,Jakes_team
GIRLS LIKE GIRLS,Hayley Kiyoko,1250817633,9781250817631,Jakes_team
GOING INFINITE,Michael Lewis,1324074337,9781324074335,Jakes_team
GO-TO DINNERS,Ina Garten,1984822780,9781984822789,Petes_team
GREENLIGHTS,Matthew McConaughey,,9780593294185,Petes_team
GRIME AND PUNISHMENT,Dav Pilkey,1338535625,9781338535624,Petes_team
GRUMPY MONKEY DON'T BE SCARED,Suzanne Lang.,0593486951,9780593486955,Petes_team
HAPPINESS,Danielle Steel,1984821938,9781984821935,Petes_team
HAPPY PLACE,Emily Henry,0593675118,9780593675113,Petes_team
HAPPY PLACE,Emily Henry,0593441273,9780593441275,Jakes_team
HARRY POTTER,J.K. Rowling,054579143X,9780545791434,Jakes_team
HARRY POTTER,J.K. Rowling,059035342X,9780590353427,Petes_team
HARRY POTTER,J.K. Rowling,1338815288,9781338815283,Jakes_team
HEART BONES,Colleen Hoover,1668021919,9781668021910,Petes_team
HELL BENT,Leigh Bardugo,1250313104,9781250313102,Jakes_team
HELLO BEAUTIFUL,Ann Napolitano,0593243730,9780593243732,Petes_team
HIDDEN POTENTIAL,Adam Grant,0593653149,9780593653142,Jakes_team
HIGH STAKES,Danielle Steel,1984821733,9781984821737,Jakes_team
HOLLY,Stephen King,,9781797161419,Jakes_team
HOLLY,Stephen King,1668016133,9781668016138,Jakes_team
HOOKY VOL. 3,Míriam Bonastre Tur,0358693578,9780358693574,Jakes_team
HOUSE OF ROOTS AND RUIN,Erin A. Craig,None,9780593708347,Jakes_team
HOUSE OF SKY AND BREATH,Sarah J. Maas,None,9781639732876,Jakes_team
HOW TO BE THE LOVE YOU SEEK,Nicole LePera,0063267748,9780063267749,Jakes_team
HOW TO CATCH A LEPRECHAUN,Adam Wallace.,1492632910,9781492632917,Jakes_team
HOW TO CATCH A LOVEOSAURUS,Alice Walstead.,1728268788,9781728268781,Petes_team
HOW TO CATCH AN ELF,Adam Wallace.,1492646318,9781492646310,Jakes_team
HOW TO CATCH A TURKEY,Adam Wallace.,1492664359,9781492664352,Petes_team
HOW TO CATCH A UNICORN,Adam Wallace.,1492669733,9781492669739,Petes_team
