title,author,primary_isbn10,primary_isbn13,bought_by
TOM LAKE,Ann Patchett,006332752X,9780063327528,Jakes_team
TOM LAKE,Ann Patchett,,9780063327559,Jakes_team
TOO LATE,Colleen Hoover,1538756595,9781538756591,Jakes_team
TRUST,Hernan Diaz,0593420322,9780593420324,Petes_team
TWENTY THOUSAND FLEAS UNDER THE SEA,Dav Pilkey,1338801910,9781338801910,Jakes_team
TWISTED LOVE,Ana Huang,1728274869,9781728274867,Petes_team
TWO ALONE,Sandra Brown,0778334449,9780778334446,Petes_team
TWO DEGREES,Alan Gratz,1338735675,9781338735673,Petes_team
TWO TWISTED CROWNS,Rachel Gillig,0316312711,9780316312714,Petes_team
UNNATURAL DEATH,Patricia Cornwell,1538743191,9781538743195,Petes_team
UNSCRIPTED,James B. Stewart and Rachel Abrams,1984879421,9781984879424,Petes_team
VERITY,Colleen Hoover,1538724731,9781538724736,Petes_team
VINCE FLYNN: CODE RED,Kyle Mills,1982165022,9781982165024,Jakes_team
VINCE FLYNN: CODE RED,Kyle Mills,1982164999,9781982164997,Petes_team
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,1982164921,9781982164928,Petes_team
WARRIOR GIRL UNEARTHED,Angeline Boulley,1250766583,9781250766588,Petes_team
WHAT THE RIVER KNOWS,Isabel Ibañez,None,9781250345394,Jakes_team
WHEN YOU TRAP A TIGER,Tae Keller,1524715735,9781524715731,Jakes_team
WHY A DAUGHTER NEEDS A DAD,Gregory E. Lang.,1492667838,9781492667834,Jakes_team
WHY A SON NEEDS A MOM,Gregory E. Lang.,1728235847,9781728235844,Petes_team
WILDFIRE,Hannah Grace,1668026279,9781668026274,Jakes_team
WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Tui T. Sutherland.,1338634828,9781338634822,Jakes_team
WISH,Barbara O'Connor,1250144051,9781250144058,Jakes_team
WITHOUT A TRACE,Danielle Steel,1984821881,9781984821881,Jakes_team
WITHOUT A TRACE,Danielle Steel,1984821865,9781984821867,Petes_team
WONDER,R.J. Palacio,0375869026,9780375869020,Jakes_team
WORTHY,Jada Pinkett Smith,,9780063320710,Petes_team
WORTHY,Jada Pinkett Smith,0063320681,9780063320680,Petes_team
WRECKER,Carl Hiaasen,0593376285,9780593376287,Jakes_team
Y'ALL EAT YET?,Miranda Lambert with Holly Gleason,0063087782,9780063087781,Petes_team
YOU CAN'T JOKE ABOUT THAT,Kat Timpf,0063270420,9780063270428,Petes_team
YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith,1982185856,9781982185855,Petes_team
YOUNG FOREVER,Mark Hyman,0316453188,9780316453189,Jakes_team
